"","Import_ISO3","Year","imports","unequal_imports","prop_unequal"
"3344","JPN",2015,933542.002165832,2964.60001221299,0.00317564716460007
"3345","KAZ",1980,0.833333358168602,NA,NA
"3346","KAZ",1994,938.333319861442,NA,NA
"3347","KAZ",1995,6501.33464177325,NA,NA
"3348","KAZ",1996,9925.88527126703,NA,NA
"3349","KAZ",1997,17103.3732599085,NA,NA
"3350","KAZ",1998,14204.9331541788,NA,NA
"3351","KAZ",1999,19414.459945411,NA,NA
"3352","KAZ",2000,18142.7731116709,NA,NA
"3353","KAZ",2001,18874.8864638126,NA,NA
"3354","KAZ",2002,15833.3491217457,NA,NA
"3355","KAZ",2003,19298.9553868244,NA,NA
"3356","KAZ",2004,21368.4808261143,NA,NA
"3357","KAZ",2005,18630.5670789089,NA,NA
"3358","KAZ",2006,50186.0871152999,NA,NA
"3359","KAZ",2007,33459.311511486,NA,NA
"3360","KAZ",2008,33280.4330790371,NA,NA
"3361","KAZ",2009,17892.9231775687,NA,NA
"3362","KAZ",2010,18088.958478732,NA,NA
"3363","KAZ",2011,20315.0560872799,NA,NA
"3364","KAZ",2012,37247.5386964559,NA,NA
"3365","KAZ",2013,35872.8608098748,NA,NA
"3366","KAZ",2014,31236.0837577841,NA,NA
"3367","KAZ",2015,33255.2802848786,NA,NA
"3368","KEN",1976,36.3666677176952,35.1000009849668,0.965169568392648
"3369","KEN",1977,87.833335084375,64.9000014439225,0.738899432448715
"3370","KEN",1978,266.46666209586,264.599995397031,0.992994745818684
"3371","KEN",1979,296.393330387771,272.426663767546,0.919138981336493
"3372","KEN",1980,128.899999439716,125.899999335408,0.976726143387525
"3373","KEN",1981,66.0333332084119,58.9666665047407,0.892983340983747
"3374","KEN",1982,168.359998904169,134.166665285826,0.796903457823103
"3375","KEN",1983,56.8399993153289,49.4066659556702,0.869223549451133
"3376","KEN",1984,19.6333331298083,9.4666665866971,0.482173175797865
"3377","KEN",1985,1040.0333254626,757.911990256049,0.728738177614581
"3378","KEN",1986,308.466664562933,267.499998609535,0.867192566783696
"3379","KEN",1987,18.9866666998714,16.4200000232086,0.864817415440266
"3380","KEN",1988,73.6333304308355,70.2666638530791,0.95427795323045
"3381","KEN",1990,8.39999981224537,8.29999981075525,0.988095237651751
"3382","KEN",1991,30.2000001966953,5.50000008940697,0.18211920707235
"3383","KEN",1992,597.499983966351,0.600000001490116,0.00100418412985917
"3384","KEN",1993,4.5,1,0.222222222222222
"3385","KEN",1994,1501.39996270742,173.099999985658,0.11529239661996
"3386","KEN",1995,461.66666188091,56.6666676849127,0.122743685788449
"3387","KEN",1996,1164.60001033545,55.5,0.0476558470783579
"3388","KEN",1997,2527.70001454651,1.90000005066395,0.000751671495719329
"3389","KEN",1998,4902.59337337688,1777.00000068545,0.362461225182432
"3390","KEN",1999,1417.54668150563,117.859998293221,0.0831436451659127
"3391","KEN",2000,2722.36665701307,2405.49998707324,0.883606174383766
"3392","KEN",2001,10357.3000332117,8807.80004112422,0.850395374555255
"3393","KEN",2002,4701.90003942698,3069.40003683418,0.652799934302356
"3394","KEN",2003,1468.10000697523,666.100010693073,0.453715692070227
"3395","KEN",2004,4032.53331114352,3966.29997777194,0.983575254496088
"3396","KEN",2005,12028.3266366385,10608.999942854,0.882001317667817
"3397","KEN",2006,9776.66536341049,7548.07332693227,0.772049880645521
"3398","KEN",2007,9847.41239703906,6962.60603090003,0.707049298858811
"3399","KEN",2008,6928.40664545726,5956.83330474049,0.85976958477837
"3400","KEN",2009,2686.09997998923,103.000001907349,0.0383455577508926
"3401","KEN",2010,3214.04732478596,1897.0066573685,0.590223623261314
"3402","KEN",2011,8074.53332455456,6033.00000627339,0.747163924375308
"3403","KEN",2012,6924.29995940987,1826.00000734627,0.263708969578189
"3404","KEN",2013,4887.09997965302,2531.49998017401,0.517996355858007
"3405","KEN",2014,10317.9000207493,4327.53330980241,0.41941996928636
"3406","KEN",2015,10080.9999406717,1126.39999956894,0.111734947544686
"3407","KGZ",1994,197.50000667572,NA,NA
"3408","KGZ",1995,187.599997520447,NA,NA
"3409","KGZ",1996,283.899995326996,NA,NA
"3410","KGZ",1997,146.700006090105,NA,NA
"3411","KGZ",1998,1279.19999928772,NA,NA
"3412","KGZ",1999,1678.90002135187,NA,NA
"3413","KGZ",2000,1381.80000323802,NA,NA
"3414","KGZ",2001,876.500008881092,NA,NA
"3415","KGZ",2002,433.399992309511,NA,NA
"3416","KGZ",2003,1930.09995072335,NA,NA
"3417","KGZ",2004,2790.70001325011,NA,NA
"3418","KGZ",2005,3713.20004458725,NA,NA
"3419","KGZ",2006,2244.66667001089,NA,NA
"3420","KGZ",2007,2023.53332798305,NA,NA
"3421","KGZ",2008,34.8736670883372,NA,NA
"3422","KGZ",2009,3316.88666469604,NA,NA
"3423","KGZ",2010,1922.21335642505,NA,NA
"3424","KGZ",2011,3,NA,NA
"3425","KGZ",2012,4779.59995727986,NA,NA
"3426","KGZ",2013,2582.6000129357,NA,NA
"3427","KGZ",2014,28.1000000759959,NA,NA
"3428","KGZ",2015,522.65733551234,NA,NA
"3429","KHM",1994,1221.69997382164,52.3000011444092,0.042809202148714
"3430","KHM",1995,1601.4999268055,NA,NA
"3431","KHM",1996,2123.40001225471,1283.30001223087,0.604360932855139
"3432","KHM",1997,889.99999397248,32.5000001788139,0.036516854380809
"3433","KHM",1998,1005.00001063943,NA,NA
"3434","KHM",1999,1393.59998921305,NA,NA
"3435","KHM",2000,564.300011098385,422.900009155273,0.749424066698346
"3436","KHM",2001,8.60000012814999,NA,NA
"3437","KHM",2002,114.899995453656,NA,NA
"3438","KHM",2003,539.099999375641,213.899998538196,0.396772396189806
"3439","KHM",2004,688.600002199411,3.30000007152557,0.00479233235693474
"3440","KHM",2005,1898.70001645386,NA,NA
"3441","KHM",2006,1099.59999255091,0.100000001490116,0.0000909421627569594
"3442","KHM",2007,599.399999544024,260.799996986985,0.435101763739374
"3443","KHM",2008,746.499999858439,526.799998193979,0.705693232811625
"3444","KHM",2009,444.200008444488,182.500004246831,0.410850969782541
"3445","KHM",2010,990.900000952184,323.099993251264,0.326067204501754
