country,max_yr,min_yr,total_years,mov_avg_imports,mov_avg_unequal,mov_avg_prop_unequal,time
KIR,2015,1989,26,128.639999237657,27.8000004179776,0.237876767257284,1995
KIR,2015,1989,26,130.739999738336,27.8000004179776,0.237876767257284,1996
KIR,2015,1989,26,109.26000007242,49.4999997069438,0.491917844838189,1997
KIR,2015,1989,26,130.340000863373,35.6333327814936,0.372214402373293,1998
KIR,2015,1989,26,128.860000874102,48.3999991901219,0.508616880242105,1999
KIR,2015,1989,26,146.900001636147,38.1333326821526,0.367612290595814,2000
KIR,2015,1989,26,155.780001300573,53.7749995272607,0.433151368576466,2001
KIR,2015,1989,26,159.060001862049,33.7999999560416,0.212886043485177,2002
KIR,2015,1989,26,141.920001637936,44.5500003136695,0.291970206505781,2003
KIR,2015,1989,26,147.700001113117,41.2000000983477,0.278742695496886,2004
KIR,2015,1989,26,125.540000891686,53.0399999693036,0.423647389872798,2005
KIR,2015,1989,26,127.520000684261,41.1249999459833,0.372117086711393,2006
KIR,2015,1989,26,177.840000961721,50.4999999279777,0.456509882403575,2007
KIR,2015,1989,26,196.100000028312,71.4333328828214,0.503002654819533,2008
KIR,2015,1989,26,221.119999366999,93.2499997057018,0.641587656498646,2009
KIR,2015,1989,26,220.679999640584,75.5500001795588,0.460066481239453,2010
KIR,2015,1989,26,200.099999590218,75.5500001795588,0.460066481239453,2011
KIR,2015,1989,26,151.439998908341,50.4000001202026,0.306994434211452,2012
KIR,2015,1989,26,127.419999225438,20.7499999850989,0.223967286409928,2013
KIR,2015,1989,26,97.2250000331553,20.7499999850989,0.223967286409928,2014
KIR,2015,1989,26,98.7666666929923,0.100000001490116,0.000850340155448894,2015
KNA,2015,1977,38,28.5333333363136,,,1977
KNA,2015,1977,38,27.9000002481043,,,1978
KNA,2015,1977,38,30.120000320673,,,1979
KNA,2015,1977,38,29.1200004041195,,,1980
KNA,2015,1977,38,30.7200004220009,,,1981
KNA,2015,1977,38,22.0000005275011,,,1982
KNA,2015,1977,38,25.8200002968312,,,1983
KNA,2015,1977,38,24.8200000658632,,,1984
KNA,2015,1977,38,26.4199999853969,,,1985
KNA,2015,1977,38,26.6199999883771,,,1986
KNA,2015,1977,38,34.8200000420213,,,1987
KNA,2015,1977,38,47.2000000327825,,,1988
KNA,2015,1977,38,53.120000167191,,,1989
KNA,2015,1977,38,52.720000205934,,,1990
KNA,2015,1977,38,51.1693334950134,,,1991
KNA,2015,1977,38,44.3466668790206,,,1992
KNA,2015,1977,38,24.3000003127381,,,1993
KNA,2015,1977,38,140.66666733902,,,1994
KNA,2015,1977,38,137.498667309806,2.94666679296643,0.932489451001756,1995
KNA,2015,1977,38,136.318667296134,4.07333339052275,0.952529014254689,1996
KNA,2015,1977,38,146.64800050538,26.7933334276701,0.966973999630804,1997
KNA,2015,1977,38,171.448000410944,52.7866666908376,0.975230499723103,1998
KNA,2015,1977,38,83.7813340900001,83.6493340836373,0.980184399778482,1999
KNA,2015,1977,38,83.3259340618039,103.825000906305,0.992108136972664,2000
KNA,2015,1977,38,95.3646007618169,102.550000910589,0.749347439059639,2001
KNA,2015,1977,38,89.4579341737787,95.2416676794529,0.750381446463881,2002
KNA,2015,1977,38,84.3406009676401,62.868334401137,0.503408004178354,2003
KNA,2015,1977,38,88.8659336322221,20.4575834351708,0.294170576808417,2004
KNA,2015,1977,38,141.689333871752,23.1957999652252,0.261109039508331,2005
KNA,2015,1977,38,201.566666268371,24.7517999907956,0.26512255836204,2006
KNA,2015,1977,38,219.581332654506,20.1897498441394,0.0814031979525495,2007
KNA,2015,1977,38,260.952065981855,25.6384999131842,0.0968588875694748,2008
KNA,2015,1977,38,268.54540022281,32.6675838324009,0.117335544791975,2009
KNA,2015,1977,38,248.341467034316,30.7170841225307,0.125287241078943,2010
KNA,2015,1977,38,215.512068011111,38.3294454523518,0.159851861397235,2011
KNA,2015,1977,38,248.397401282156,38.3294454523518,0.159851861397235,2012
KNA,2015,1977,38,233.610667743499,45.9600013568998,0.202813297433056,2013
KNA,2015,1977,38,225.090000133743,26.3466672459617,0.160669675455858,2014
KNA,2015,1977,38,245.459888427906,,,2015
KOR,2015,1976,39,15912.1468016412,14948.3870140712,0.941171401859311,1976
KOR,2015,1976,39,14323.7350766682,13600.9152359907,0.955878551394483,1977
KOR,2015,1976,39,12102.1880665962,11523.9321940541,0.964702841115587,1978
KOR,2015,1976,39,10400.5547512982,9953.31874743702,0.973478118858906,1979
KOR,2015,1976,39,8910.8687921254,8762.86479052158,0.98842646743598,1980
KOR,2015,1976,39,7355.47379088207,7261.75658934471,0.98129833563666,1981
KOR,2015,1976,39,7125.95364458962,7032.23644305226,0.98129833563666,1982
KOR,2015,1976,39,9504.39361259294,9410.67641105558,0.98129833563666,1983
KOR,2015,1976,39,11087.533566686,10993.8163651487,0.98129833563666,1984
KOR,2015,1976,39,12144.3536035682,12050.6364020308,0.98129833563666,1985
